"","Audio.code","DATE","TIME","WP","Treatment","Track","DIAH","DICDV","HD","VD","H.app.d","V.app.d","Other","n_double","n_quank","n_squeak","n_rapid","n_wurp","avg.rate_double","avg.rate_quank","avg.rate_squeak","avg.rate_rapid","avg.rate_wurp","avg.quankrate","season","tot.notes","tot.quanks"
"1","01_Nov_C3","11/7/22","9:27","1","Control",3,"N","N",8.4,6.2,"0","0","Did not respond at all to call. Looked once but kept foraging behavior",52,47,6,0,0,2.11998897737939,3.87564355830182,16.3648071938447,NA,NA,3.87564355830182,2,105,99
"2","02_Nov_H1","11/7/22","10:44","2","High",1,"Y","Y",1.25,6.5,NA,NA,"Female flew in but later; male was responding for a while",0,202,1,0,0,NA,3.68077690774456,8.68936190704806,NA,NA,3.68077690774456,2,203,202
"3","03_Nov_C3","11/11/22","10:01","3","Control",3,"N","N",8.6,5,"0","0","",73,2,0,22,0,3.50078566194044,8.56170072624561,NA,8.45996694708063,NA,8.56170072624561,2,97,97
"4","04_Nov_L1","11/11/22","10:55","4","Low",1,"Y","N",0,3.6,"10.8","0","",1,18,0,47,0,0.261500685410948,3.19195761999405,NA,6.48765797148039,NA,3.19195761999405,2,66,66
"5","05_Nov_H3","11/11/22","11:27","5","High",3,"N","N",13.4,6.2,"0","0","Stayed in area and calling a lot but no approach looked like female. Still calling after treatment over. Got really close after. Hd:        14 ft 11 in Vd: 1.8",0,168,3,0,0,NA,3.24632713675592,5.78976742101538,NA,NA,3.24632713675592,2,171,168
"6","06_Nov_C2","11/13/22","9:45","6","Control",2,"N","N",13.7,7.8,"0","0","Did not respond to call but looked for about 10 seconds and went back to foraging behavior",0,0,0,0,0,NA,NA,NA,NA,NA,NA,2,0,0
"7","07_Nov_L1","11/13/22","10:16","7","Low",1,"N","N",14.8,4.2,"0","0","Stayed in the same tree the whole time but was foraging. Moving around a lot before.",0,0,0,0,0,NA,NA,NA,NA,NA,NA,2,0,0
"8","08_Nov_H2","11/13/22","10:39","8","High",2,"Y","N",0,4.5,"8.4","0","Was not calling much but stayed in the area bouncing between three trees but approached to the closest tree",8.5,2,0,0,0,2.63152688234225,10.6279729389918,NA,NA,NA,10.6279729389918,2,10.5,10.5
"9","09_Nov_C3","11/13/22","11:17","9","Control",3,"N","N",12.64,4.6,"0","0","Territory dispute response",0,72,0,0,0,NA,4.27674010531488,NA,NA,NA,4.27674010531488,2,72,72
"10","10_Nov_L2","11/16/22","9:35","10","Low",2,"Y","Y",4.8,3.2,"9","2.4","May have to omit this one because I lost the bird halfway through",0,0,0,0,0,NA,NA,NA,NA,NA,NA,2,0,0
"11","11_Nov_C3","11/16/22","10:14","11","Control",3,"Y","Y",6.9,4.4,"6.7","3.8","Bird approached later but was still calling for a bit before flying away",17,6,0,74,0,5.44832443552806,4.64126265574212,NA,9.63464693785591,NA,4.64126265574212,2,97,97
"12","12_Nov_H3","11/18/22","9:30","12","High",3,"Y","N",0,3.6,"15.95","0","8.6 starting vertical female. Mail was doing wing flicks anna what was Bill wiping Bill wiping. 24.2 starting horizontal female. 21ft 9in close h female. 2.6 v female approach.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
"13","13_Nov_L1","11/18/22","10:19","13","Low",1,"Y","N",0,0,"19.4","0","",0,35,1,0,0,NA,3.92479823228638,9.00841599553432,NA,NA,3.92479823228638,2,36,35
"14","14_Nov_L1","11/18/22","11:24","14","Low",1,"Y","N",5.3,2.6,"9.1","0","",0,6,0,0,0,NA,2.6365206740464,NA,NA,NA,2.6365206740464,2,6,6
"15","15_Nov_C1","11/22/22","11:42","15","Control",1,"Y","Y",18,9.4,"3.2","7","Bird was looking but did not stay looking long and continued to move farther away from us to go to a feeder that was nearby",0,0,4,0,0,NA,NA,10.1934044304673,NA,NA,NA,2,4,0
"16","16_Nov_H1","12/5/22","10:01","16","High",1,"Y","Y",4.7,6.4,"8.3","0.8","Both the male and female flew in and female flew out then back in and stayed until the end of recording and stayed at the same vicinity the whole time",0,64,6,0,0,NA,4.33310920469492,2.84176900441456,NA,NA,4.33310920469492,2,70,64
"17","17_Nov_H3","12/5/22","10:25","17","High",3,"Y","N",12.8,9.4,"4.4","0","Original individual was looking and remained in the area for a few minutes. Bill wiped two times and was looking at me.mate was also in the area. May not have approached because there was a pair behind us. Seemed to be a territory border.",8,48,19,0,0,3.00870665939,3.84133180745703,6.41969824619838,NA,NA,3.84133180745703,2,75,56
"18","18_Nov_H1","12/5/22","11:03","18","High",1,"N","N",14,11,"0","0","Response was immediate and it was looking at us for a while but it did not approach and flew back. Maybe on a territory again",0,0,0,0,0,NA,NA,NA,NA,NA,NA,2,0,0
"19","19_Nov_C3","12/5/22","11:22","19","Control",3,"N","N",12.6,4.8,"0","0","Looked initially but was foraging the whole time",2,0,12,0,0,4.87209011235812,NA,5.95683234094415,NA,NA,NA,2,14,2
"20","01_feb_H1","1/30/22","10:29","1446","High",1,"Y","Y",17,4,"n/a","n/a","Looked at camera and mate approached",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"21","02_feb_L1","1/30/22","11:00","1445","Low",1,"Y","Y",15,5.5,"n/a","n/a","went back to fooraging quickly and partner didn’t approach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"22","03_feb_C1","1/30/22","11:35","1447","Control",1,"N","N",60,35,"n/a","n/a","flew above speaker but was foraging the whole time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"23","04_feb_L3","2/1/22","9:38","around the back loop of wilderness (right at the start of loop)","Low",3,"Y","Y",3.81,6.8,"n/a","n/a","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"24","05_feb_C2","2/7/22","12:02","1454","Control",2,"Y","Y",8.8,6.2,"n/a","n/a","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"25","06_feb_C2","2/7/22","11:43","around the back loop of wilderness (closest to river)","Control",2,"Y","N",7.8,14.2,"n/a","n/a","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"26","07_feb_H1","2/16/22","11:40","1458","High",1,"Y","Y",0,3.6,"n/a","n/a","One stayed vigilant for most of the time and the other started foraging again about halfway through",20,2,0,0,194,1.96628912946946,6.75911370045015,NA,NA,9.01799452445792,6.75911370045015,1,216,22
"27","08_feb_L1","2/16/22","11:57","Right after red bridge (north end of wilderness)","Low",1,"Y","N",6.8,11,"n/a","n/a","Didn’t stay vigilant the whole time but it did approach and was quark calling the whole time",0,173,0,207,0,NA,3.46903859922242,NA,4.30709736716933,NA,3.46903859922242,1,380,380
"28","09_feb_L1","2/19/22","10:38","1459","Low",1,"Y","Y",0.394,9.8,"n/a","n/a","",57,20,0,6,0,2.58092301849276,2.54524768847155,NA,7.66470513363904,NA,2.54524768847155,1,83,83
"29","10_feb_H2","2/19/22","11:15","1460","High",2,"Y","N",0.373,9,"n/a","n/a","Did not remain vigilant that long but partner came in ",2,9,0,4,0,1.16898990320344,5.83671889027192,NA,10.2770462754663,NA,5.83671889027192,1,15,15
"30","11_feb_C1","2/19/22","11:25","At one of the feeders (The feeder by the edge near river)","Control",1,"N","N",11.4,2,"n/a","n/a","",0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0,0
"31","12_feb_H2","2/19/22","11:49","Very first territory walking in to reller (right where we put the table to the left of river)","High",2,"Y","Y",0,4.6,"n/a","n/a","Two wing flicks and remained vigilant for a good amount of time",0,1,0,52,89,NA,10.3735190945668,NA,10.0013281010713,7.4360026261543,10.3735190945668,1,142,53
"32","13_feb_C1","2/19/22","12:15","1461","Control",1,"N","N",0,10.6,"n/a","n/a","No behavior change",0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0,0
"33","14_feb_L1","2/21/22","11:38","1462","Low",1,"N","N",0.52,2.8,"n/a","n/a","Stayed in the area wasn’t a clear vertical or horizontal approach but stayed in the area and was semi vigilant",0,0,23,0,0,NA,NA,14.622250821991,NA,NA,NA,1,23,0
"34","15_feb_H2","2/21/22","12:17","1463","High",2,"Y","N",0.28,9.6,"n/a","n/a","Didn’t stay vigilant after approach horizontallly but stayed in the vicinity for a bit while foraging ",0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0,0
"35","16_feb_H1","2/21/22","12:37","1464","High",1,"Y","Y",8,4.55,"n/a","n/a","Stayed vigilant the whole time with partner present during the whole time as well",7,0,4,0,25,4.19505370602391,NA,10.6266854475228,NA,5.9804896334416,NA,1,36,7
"36","17_feb_L3","2/21/22","1:19","1465","Low",3,"Y","N",8.84,7.2,"n/a","n/a","Approached once and looked for a long time ",0,8,49,0,0,NA,3.42343239022403,9.82517933890272,NA,NA,3.42343239022403,1,57,8
"37","18_feb_C3","3/6/22","10:10","1491","Control",3,"N","N",15.2,6.6,"n/a","n/a","No approach or behavior change",0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0,0
"38","19_feb_L1","3/6/22","10:45","1492","Low",1,"Y","Y",7.6,8.2,"n/a","n/a","Female did not approach but looked and wasn’t vigilant and the male (not the focal bird was vigilant the whole time.female was 11 away and 3.2 up",116,175,2,40,0,3.80009288466787,2.91863047408371,4.56105017541751,5.35275808163584,NA,2.91863047408371,1,333,331
"39","20_feb_C1","3/6/22","11:00","1493","Control",1,"N","N",12.3,6.4,"n/a","n/a","",0,2,0,0,0,NA,3.49565995464404,NA,NA,NA,3.49565995464404,1,2,2
"40","21_feb_L1","3/6/22","11:41","1494","Low",1,"Y","Y",1.11,3.4,"n/a","n/a","Approached and was vigilant but wasn’t in the vicinity long",144,1,0,0,87,3.13473477895891,7.89171151296156,NA,NA,6.13553712436238,7.89171151296156,1,232,145
"41","22_feb_H1","3/6/22","12:04","1495","High",1,"Y","Y",0,3.4,"n/a","n/a","",0,64,0,0,141,NA,2.37169236563606,NA,NA,5.20124587306822,2.37169236563606,1,205,64
"42","23_feb_H1","3/6/22","12:34","1496","High",1,"Y","N",1.47,9.6,"n/a","n/a","",270,6,0,17,0,2.11198157149008,5.69664345857409,NA,3.91226764927077,NA,5.69664345857409,1,293,293
"43","24_feb_C3","3/7/22","10:15","1497","Control",3,"N","N",15,9.4,"n/a","n/a","Foraging but lost it for half the time",1,56,4,0,0,4.67225862513825,3.52734055797495,3.89105298172388,NA,NA,3.52734055797495,1,61,57
"44","25_feb_L2","3/7/22","10:35","1498","Low",2,"Y","Y",0,4.4,"n/a","n/a","Partner came in",136,3,0,66,58,3.7341738243271,7.03632678022209,NA,10.1846068763815,7.31108979307573,7.03632678022209,1,263,205
"45","26_feb_H3","3/7/22","10:48","1499","High",3,"Y","Y",8.2,8.2,"n/a","n/a","",14.5,16,0,0,0,3.91873466509011,3.85962942235667,NA,NA,NA,3.85962942235667,1,30.5,30.5
